id,nome,senha,permissao
2,admin2,HBg>F>j9,administrador
3,admin3,)?nBe]Sv,administrador
4,admin4,;9hn9uu8,administrador
5,admin5,W78@D7%l,administrador
6,funcionario6,"Q@b""S$!n",funcionario
7,funcionario7,"y)0C4gq""",funcionario
8,funcionario8,&wT)8T17,funcionario
9,funcionario9,w?n+?29l,funcionario
10,funcionario10,"c]Sg=VN,",funcionario
11,funcionario11,"6Hcf$7J""",funcionario
12,funcionario12,7EMrUxfJ,funcionario
13,funcionario13,krBYX<Z[,funcionario
14,funcionario14,rgQT=Y;-,funcionario
15,funcionario15,:q]u=y0q,funcionario
16,funcionario16,"Y)8,D,HY",funcionario
17,funcionario17,^F=>/C9P,funcionario
18,funcionario18,Y_ViCgW%,funcionario
19,funcionario19,kvTCB3Dr,funcionario
20,funcionario20,2`1>&}{?,funcionario
21,funcionario21,"Z:,j3ns_",funcionario
22,funcionario22,^r^jqFpt,funcionario
23,funcionario23,yQi62^Uk,funcionario
24,funcionario24,2@`JX?|p,funcionario
25,funcionario25,$d-cVDg-,funcionario
26,estagiario26,+@(BHh6J,estagiario
27,estagiario27,Ul[hVe[v,estagiario
28,estagiario28,"+CU""d(NR",estagiario
29,estagiario29,AU&IFi;9,estagiario
30,estagiario30,Z\{Dsj'z,estagiario
31,cliente31,:y}w7%hl,cliente
32,cliente32,{Atw8px<,cliente
33,cliente33,1~Qf#\XK,cliente
34,cliente34,\d_B)Q58,cliente
35,cliente35,p&Coe9!A,cliente
36,cliente36,doFaj$9`,cliente
37,cliente37,9l/k]peP,cliente
38,cliente38,epD0*0Be,cliente
39,cliente39,yr;as5e9,cliente
40,cliente40,"o7Z,?a${",cliente
41,cliente41,6va/!+?J,cliente
42,cliente42,\%ol{NG;,cliente
43,cliente43,Au^]K?L-,cliente
44,cliente44,R(JG7B?c,cliente
45,cliente45,"h<l3$O,A",cliente
46,cliente46,"A,43%v)E",cliente
47,cliente47,0@}D+W}-,cliente
48,cliente48,H5-(oZ7U,cliente
49,cliente49,91-jJ2+t,cliente
50,cliente50,D(/p:~jz,cliente
51,cliente51,}a>iMcL),cliente
52,cliente52,bpON]K[V,cliente
53,cliente53,J_ycI.E:,cliente
55,cliente55,''}OGac_,cliente
56,cliente56,j\*h>:tO,cliente
57,cliente57,z-1VoR3F,cliente
58,cliente58,aNf7sBQ?,cliente
59,cliente59,wRWB`\:V,cliente
60,cliente60,"B)/?#p,K",cliente
61,cliente61,J)M[5-+S,cliente
62,cliente62,J0vf}N$B,cliente
63,cliente63,j/!W6/~f,cliente
64,cliente64,Hj+}<KIz,cliente
65,cliente65,`NCgTFsl,cliente
66,cliente66,&3VP:=qX,cliente
67,cliente67,'9R5}o]-,cliente
68,cliente68,Hq/H]k]w,cliente
69,cliente69,:fP[ALo_,cliente
70,cliente70,~pKio0C:,cliente
71,cliente71,y~OR>W\!,cliente
72,cliente72,Bti*VJD!,cliente
73,cliente73,IPwU1-El,cliente
74,cliente74,?4]ovnx`,cliente
75,cliente75,M61p~~+w,cliente
76,cliente76,dD-s4@yU,cliente
77,cliente77,=&^Y'dzh,cliente
78,cliente78,XpL~1/5',cliente
79,cliente79,>bxYANJ.,cliente
80,cliente80,H$F+U}F4,cliente
81,cliente81,1j$>.{TR,cliente
82,cliente82,#k[Vx$T',cliente
83,cliente83,#YCsw}]%,cliente
84,cliente84,GJ{cCDeA,cliente
85,cliente85,uHv%!A._,cliente
86,cliente86,a/pG]Cp?,cliente
87,cliente87,ix!AvPth,cliente
88,cliente88,1gX!Tz.A,cliente
89,cliente89,n&HehmH),cliente
90,cliente90,yvP>A_%M,cliente
91,cliente91,",WEAb<BP",cliente
92,cliente92,4VcmgGa(,cliente
93,cliente93,/-Ik!E<R,cliente
94,cliente94,/?+YZDBC,cliente
95,cliente95,UAh0*Oiy,cliente
96,cliente96,=KIzCAke,cliente
97,cliente97,O|m3Jx^Q,cliente
98,cliente98,U'i}P.we,cliente
99,cliente99,^nZtm06N,cliente
100,cliente100,???Ub_a;,cliente
101,cliente101,GJeb})C;,cliente
102,cliente102,z'Ojq|N|,cliente
103,cliente103,",fGnM@:q",cliente
104,cliente104,&*)u{lJS,cliente
105,cliente105,TG5qWikB,cliente
106,cliente106,iG&Bw>64,cliente
107,cliente107,9r[<.`9[,cliente
108,cliente108,GH&rRGct,cliente
109,cliente109,y((CIBf6,cliente
110,cliente110,"R,Kc~t6_",cliente
111,cliente111,C]k0#`So,cliente
112,cliente112,4b0rCw-S,cliente
113,cliente113,4EL&7s\I,cliente
114,cliente114,QuFZitOL,cliente
115,cliente115,nbx3U6Ar,cliente
116,cliente116,B*m#bH-c,cliente
117,cliente117,z`hwI8yV,cliente
118,cliente118,dzBC~0`\,cliente
119,cliente119,Cr]$__Bq,cliente
120,cliente120,"08V^M{,j",cliente
121,cliente121,.QA!*R4\,cliente
122,cliente122,rv}O!1?l,cliente
123,cliente123,?F)B&g[h,cliente
124,cliente124,^0~]~zpq,cliente
125,cliente125,kSlBn*7j,cliente
126,cliente126,Q4\<k2V*,cliente
127,cliente127,bJS*pGgz,cliente
128,cliente128,RgdXQc2G,cliente
129,cliente129,"WuO,LxK/",cliente
130,cliente130,>zah.zlJ,cliente
131,cliente131,5IuQ=1LW,cliente
132,cliente132,XM][xP]{,cliente
133,cliente133,Kh(kXYn1,cliente
134,cliente134,'[`O7h9g,cliente
135,cliente135,G02fOr$*,cliente
136,cliente136,zp1':]4$,cliente
137,cliente137,6f\<PE5',cliente
138,cliente138,"ut-d2""qy",cliente
139,cliente139,7kJ+7arF,cliente
140,cliente140,}rnggm<k,cliente
141,cliente141,wFrOMQow,cliente
142,cliente142,?r+pZXc7,cliente
143,cliente143,E.wg)3#E,cliente
144,cliente144,LWXWs4Lh,cliente
145,cliente145,g/I:8v5i,cliente
146,cliente146,/#dEUn}1,cliente
147,cliente147,:6dA->fY,cliente
148,cliente148,H_+HY)DT,cliente
149,cliente149,FWwT)SLl,cliente
150,cliente150,t|FS8sOC,cliente
151,cliente151,FG\=19Bu,cliente
152,cliente152,;=tle/=\,cliente
153,cliente153,n.ah{1hs,cliente
154,cliente154,/J$DWcyq,cliente
155,cliente155,5s-1UivH,cliente
156,cliente156,"u,rSWYs,",cliente
157,cliente157,^'!g%;8Y,cliente
158,cliente158,Z$$=zXss,cliente
159,cliente159,K+K&eb:e,cliente
160,cliente160,Uq#wBTf:,cliente
161,cliente161,eY1wTYvP,cliente
162,cliente162,"A1_o""aF~",cliente
163,cliente163,=1QWz!ZI,cliente
164,cliente164,'~Y$3yho,cliente
165,cliente165,"~#eZ,`V[",cliente
166,cliente166,I>?uEw<-,cliente
167,cliente167,"9HQ\Ki""'",cliente
168,cliente168,P%njb'Qr,cliente
169,cliente169,X1PBlx5?,cliente
170,cliente170,"!h""gKJCL",cliente
171,cliente171,p.gv\iU?,cliente
172,cliente172,"{dk,)M_y",cliente
173,cliente173,l`HvHU_0,cliente
174,cliente174,rQpp|wUX,cliente
175,cliente175,2qfM.KY:,cliente
176,cliente176,4/21Pl>P,cliente
177,cliente177,XrJ;ly.G,cliente
178,cliente178,"~6UA]""QG",cliente
179,cliente179,tneWf'^<,cliente
180,cliente180,^L?hrfY3,cliente
181,cliente181,>/T8rN_X,cliente
182,cliente182,=l#j^{\3,cliente
183,cliente183,"E,Jl@aNM",cliente
184,cliente184,!Ap)cyA2,cliente
185,cliente185,iYANvm[v,cliente
186,cliente186,{ryU%^C!,cliente
187,cliente187,VYrdEbAg,cliente
188,cliente188,ja/:*d%e,cliente
189,cliente189,2cM.I#wH,cliente
190,cliente190,&n|\$}]7,cliente
191,cliente191,}@HD4dkB,cliente
192,cliente192,Id1N|)\-,cliente
193,cliente193,=Q}zF:O0,cliente
194,cliente194,dp#nx}5=,cliente
195,cliente195,xH}'T&tY,cliente
196,cliente196,Rg@ocIk6,cliente
197,cliente197,han5z^e{,cliente
198,cliente198,SGO3P_Dn,cliente
199,cliente199,oh}Fkarg,cliente
201,Tiago,123,administrador
203,Funcionario,123,funcionario
204,estagio,123,estagiario
205,Cliente,123,cliente
